Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,LAT,LON,Seniority,Minimum Estimate,Maximum Estimate,City,State,AvgSalary
Data Scientist,$108K-$145K (Glassdoor est.),"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,38.8942786,-77.43109919999999,unspecified,108,145,Chantilly, VA,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

What Youll Do/Need

The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad-hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Masters degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
Whatll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What Youll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more
Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, were in the business of putting roofs over our clients heads, but we certainly arent putting ceilings on our team members careers. If youre interested in working in a place with a philosophy thats truly different, apply today.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),"Citi, Bank of America, Wells Fargo",42.331427,-83.0457538,unspecified,108,145,Detroit, MI,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

251340

Data Scientist

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Kinship’s Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of Pets and Pet Owners to not only power Kinship’s businesses but also influence the next great ideas in the Petcare space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, Pets, and Pet Owners. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply data science approaches to understand and predict pet and pet owner behaviors
Use machine learning techniques, visualizations, & statistical analysis to gain insight into various data sets – some readily available, and some you create and curate yourself
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and Pet/Pet Owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission: creating a better world for pets. For all of our Kinship roles, we look for candidates who exemplify our attributes through consistent behaviors. We believe what we do is just as important as how we do it, and we aim to hire people who are:
Optimistic. Those who’s boundlessly energy and enthusiasm for what’s next shines through in everything they do. We seek to work with people who are intrinsically happy, and who will drive our vision and purpose while managing the complexities of our businesses.
Purposefully Inquisitive. Those who are courageous and use their deep business insights to cultivate innovation. We want the trailblazers in tech. Those who are entrepreneurs at heart, ask the tough questions, adapt quickly to new situations, and analyze data in new ways to push our big ideas forward.
Open to All. Those who are inclusive leaders, committed to learning, and leveraging our differences as strengths. We hire people who are naturally collaborative and thrive in a flat and flexible organization. Those who are thoughtful communicators, and seek to foster meaningful relationships across our community of diverse partners.


And for this role, we hope you have the following skills we require to round out our team:

Exceptional written & verbal communication, coupled with critial thinking skills.
Truly inspired by, and want to live, our purpose of creating a better world for pets.
1+ years’ experience in a data science role handling varied and complex data
Proficiency in machine learning modeling and statistical thinking (random forest, decision trees, supervised and unsupervised modeling, etc.)
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience


If you also had these experiences, you’d knock it out of the dog park:

Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how models and systems work to both non-technical and technical stakeholders.
We want to understand what you're passionate about, the work you've done, and why you'd specifically like to work for Kinship. In order to be considered for this role, you must submit a cover letter and resume to Katelyn@Kinship.co. Candidates without a cover letter will not be considered.

WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

Kinship’s offices are global, and so are our associates. We are located in NYC, San Francisco, Portland, London, Helsinki, Shanghi, and in Moscow. Many of us flex between our dog-friendly hubs and our home offices. Today, Kinship offers exceptional benefits for you, your family, and your pets, generous paid time off, exponential opportunities to build a career within pet care, and progressive reward packages. Interested? Let’s take big strides, together.

Data Scientist

Job Segment:
Database, Scientific, Computer Science, Cloud, Statistics, Technology, Engineering, Data

Apply now »",3.9,"Mars
3.9",New York State,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1,43.2994285,-74.21793260000001,unspecified,108,145,New York State,New York State,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"The College Board, a national educational organization, is conducting a search for Data Scientist in our Technology Organization. This position will be based out of our Reston, VA office, New York City office or via remote work arrangements.

About the College Board


We are a mission-focused, not-for-profit membership organization that believes in promoting innovation, equity, and excellence for generations of students. Our members include more than 6,000 of the world's leading colleges, schools, and other educational organizations. We have over 1,900 employees in 13 offices across the U.S. and Puerto Rico.

We are advocates for children and parents; we empower teachers and educators, and we are a strong presence in thousands of schools and communities across the country through programs and services - the SAT, Advanced Placement (AP®) and Pre-AP are just a few. Our work falls broadly into four categories: College Readiness, College Connection & Success, Student Opportunities, and Advocacy.

About the role


In this role, you'll develop the next generation of assessments using leading technologies. You'll work with innovative agile teams' agile teams using your data science and machine learning skills

Responsibilities of the role
Use various modeling and machine learning techniques to creatively solve business problems
Work with a large & growing educational datasets using descriptive statistics and data visualization tools
Create insights from existing data and drive the collection of new data through instrumentation
Communicate methodology and results of advanced analyses using accessible language and intuitive data visualizations
Create reproducible, documented analyses and models that lend themselves to automation
Perform other duties or tasks as assigned or required
Qualifications needed for the role
Master's in a quantitative discipline or computer science, or a Bachelor's and 4-6 years related experience
2+ years experience programming in R and/or Python.
Experience with TensorFlow/PyTorch, Machine Vision - including video streams, Automated Speech Transcription, and Anomaly Detection
Experience building/deploying ML models in AWS
Strong foundation in statistical analysis and machine learning techniques
Facility with relational, columnar, and NoSQL database systems
Experience coping nimbly with imperfect data
Preferred skills for the role
Proven experience in developing machine learning and deep learning systems to solve real world problems
Passionate about solving difficult problems creatively
An excellent communicator and listener who helps others understand both problems and solutions
Someone who knows how to tell a story with their data
A strong team player who enjoys helping their teammates succeed
Benefits


We offer an outstanding benefits package that includes up to four weeks of paid time off each year, comprehensive health insurance, a generous retirement savings plan, tuition reimbursement, ongoing professional development and training, and more.

Mission


Our mission is to clear a path for all students to own their future.

EEOC statement


College Board is proud to be an equal opportunity employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",3.7,"The College Board
3.7","Reston, VA","New York, NY",1001 to 5000 employees,1900,Nonprofit Organization,K-12 Education,Education,$500 million to $1 billion (USD),-1,38.9586307,-77.35700279999999,unspecified,108,145,Reston, VA,126.5
"Data Analyst, Environmental Services",$108K-$145K (Glassdoor est.),"JOB TITLE: Data Analyst, Environmental Services

LOCATION: Justin Drive II

DEPARTMENT: Environmental Services

WORK SCHEDULE: Days

WORK TYPE: Full Time

JOB SUMMARY:

The Data Analyst position is responsible for coordinating tasks related to Environmental Services Performance Improvement & Education initiatives. Assists in realizing opportunities to gain efficiencies with our people, processes & products used. Manages Environmental Services Database(s) to include all process & personnel metric catalogs.

Provides support with Environmental Services Performance Improvement & Education, in the development and implementation of initiatives for Environmental Services. Works with members of the Infection Control committees to ensure follow up on metrics is completed with tracking and reporting to include analyzing trends.

COMPETENCIES AND SKILLS:

Demonstrates strong organizational skills.

Demonstrates ability to work independently or as part of a team.

Strong knowledge base with computer skills including spreadsheets, database programs, and word processing.

Demonstrates ability to simultaneously handle multiple projects and deadlines.

Able to independently set up and maintain records and complex files in paper and

electronic formats.

Excellent communication skills, grammar, punctuation, spelling required.

EDUCATION AND/OR EXPERIENCE:

Bachelor’s degree and 2 years of experience in business / system analytics or healthcare related field required.

In lieu of a bachelor’s degree, 6 additional years of experience in business / system analytics or healthcare related field required.

WORKING CONDITIONS/PHYSICAL DEMANDS:

Work is performed in an office, clinical or classroom environment.

Possesses the ability to stand for long periods as well as to walk long distances.

Position requires travel to locations within the system

The specific statements shown in each section of this description are not intended to be all-inclusive. They represent typical elements considered necessary to successfully perform the job.

OUR PURPOSE & VALUES: Everything we do is about caring for our patients, our members, our students, our Geisinger family and our communities. KINDNESS: We strive to treat everyone as we would hope to be treated ourselves. EXCELLENCE: We treasure colleagues who humbly strive for excellence. LEARNING: We share our knowledge with the best and brightest to better prepare the caregivers for tomorrow. INNOVATION: We constantly seek new and better ways to care for our patients, our members, our community, and the nation.

ABOUT GEISINGER: Geisinger is a physician-led health system comprised of approximately 30,000 employees, including nearly 1,600 employed physicians, 13 hospital campuses, two research centers, and a 583,000-member health plan Geisinger is nationally recognized for innovative practices and quality care. Geisinger serves more than 3 million people in central, south-central and northeast Pennsylvania and also in southern New Jersey with the addition of National Malcolm Baldridge Award recipient AtlantiCare, A member of Geisinger. In 2017, the Geisinger Commonwealth School of Medicine became the newest member of the Geisinger Family.

We offer healthcare benefits for full time and part time positions from day one, including vision, dental and domestic partners.* Perhaps just as important, from senior management on down, we encourage an atmosphere of collaboration, cooperation and collegiality. For more information, visit www.geisinger.org, or connect with us on Facebook, Instagram, LinkedIn and Twitter.

** Does not qualify for J-1 waiver. We are an Affirmative Action, Equal Opportunity Employer Women and Minorities are Encouraged to Apply. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of disability or their protected veteran status.

*Domestic partner benefits not applicable at Geisinger Holy Spirit.",3.5,"Geisinger
3.5","Danville, PA","Danville, PA",10000+ employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),"UPMC, Community Health Systems, Mayo Clinic",40.96342,-76.6127329,unspecified,108,145,Danville, PA,126.5
"Scientist I/II, MSAT",$108K-$145K (Glassdoor est.),"SUMMARY

We are looking for a highly-motivated team member with protein purification and or AAV vector purification experience to be a key contributor in Manufacturing Science and Technology(MSAT) Purification and Analyticalgroup. Incumbent will be responsible for improving process understanding and supporting manufacturing investigations of AAV-based gene therapy drug products.

RESPONSIBILITIES
Perform scale-down or at scale downstream process troubleshooting, summarize findings, and author technical reports/memos
Design and execute experimental plans to support functions associated with process variability reduction, product quality improvement, and process streamlining
Conduct root cause analysis, FMEA, and develop corrective and preventive actions to reduce likelihood of recurrence
Assist with evaluation of downstream process changes
Mentor and provide guidance to Research Associates
Communicate with other departments and all stakeholders to drive investigation completion
Participate and present data as a member of MSAT
Participate in scientific meetings and produces original peer-reviewed publications.
Keep current with advances in technologies related to bioprocessing
Required Skills:
Extensive knowledge of chromatography and filtration techniques required
Design and conduct small-scale experiments to support at-scale purification evaluation with AKTA systems
Hands-on experience on viral vector purification, depth filtration, Tangential Flow Filtration (TFF), membrane chromatography, H/UPLC, and analysis techniques
Knowledge of commercial biologic manufacturing operations, cGMPs, validation, and regulatory affairs
Maintain and organize accurate records
Excellent verbal and written communication skills
Desired Skills:
Basic formulation knowledge a plus
EDUCATION
PhD inchemistry, chemical engineering, biochemistry or biology or equivalent and 0-2+ years experience in biologic downstream process development
MS in chemistry, chemical engineering, biochemistry or biology or equivalent and 5+ years experience in biologic downstream process development
BS in chemistry, chemical engineering, biochemistry or biology or equivalent and8+ years experience in biologic downstream process development
CONTACTS

Other associates, assistants, scientists, and senior scientists in Manufacturing Sciences, Analytical Chemistry, Process Development and Quality Control.

SUPERVISOR RESPONSIBILITY

May be responsible for supervision of Research Associates",3.6,"BioMarin Pharmaceutical
3.6","Novato, CA","San Rafael, CA",1001 to 5000 employees,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),"Genentech, Ultragenyx Pharmaceutical, Gilead Sciences",38.1074198,-122.5697032,unspecified,108,145,Novato, CA,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.

Expected Qualifications:

Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2 years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:
401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.
#LI-JW1",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,38.9692771,-77.07886669999999,unspecified,108,145,Chevy Chase, MD,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI",40.7127753,-74.0059728,unspecified,108,145,New York, NY,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"Preferred Qualifications
Masters degree or doctorate in statistics or another applied science field or equivalent experience
Considerable experience with statistical tools and packages (e.g., SAS, SPSS, Minitab, R) and methods to incorporate statistical results into analyses
Proficiency in at least one programming language, such as Python, Java or C/C++
Strong knowledge of statistical methods, particularly in the areas of modeling and business analytics
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner
Experience with modeling and forecasting
Working knowledge of standard querying with SQL
Advanced hands-on experience with the Microsoft Office suite
Proven track record as a lead resource for the business
Strong written and verbal communication skills
Job Summary

The Data Scientist works with business owners and Technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear, providing actionable opportunities for business leaders. The Data Scientist must be detail-oriented and highly aware of the impact of their analysis and solutions across the company. They take initiative and focus on finding innovative solutions for a myriad of business challenges.

Responsibilities
Work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured and unstructured data
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling
Clean data in preparation for analysis and modeling
Perform statistical summaries and tests for relevant business questions
Develop predictive statistical, behavioral or other models via supervised and unsupervised machine learning, statistical analysis and other modeling techniques
Translate business opportunities into data-driven machine learning and modeling solutions that revamp the business process
Deploy applicable models into production system for business use
Perform statistical testing to enhance the predictability of deployed models
Summarize conclusions and solutions for presentation
Develop strong relationships with subject matter experts
Develop best practices for experimentation
Who We Are

Amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. The company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. Amrock is a preferred provider to five of the top 20 Fortune 100 companies and many of the largest residential mortgage lenders. The company is based in Detroit and retains regional operating centers in Ohio, California, Pennsylvania and Texas.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,42.331427,-83.0457538,unspecified,108,145,Detroit, MI,126.5
Data Scientist,$108K-$145K (Glassdoor est.),"We are looking for an individual who will begin to build our data science knowledge and team. This person would help us discover the information hidden in our existing data, identify issues in our data collection, opportunities for improvement in our collection and use our data to build systems that will help us make smarter decisions to deliver even better products at better efficiencies. The primary focus will be in applying data-mining techniques, statistical analysis, and applied control theory resulting in buildout of high quality control and prediction systems to be integrated with our facilities in real time.
Responsibilities & Duties:
· Creating and deploying Artificial intelligence and Machine learning models to our industrial production process within our expert system products development, with a direct impact on plant operations

· Manage the necessary data collection and pre-processing

· Propose and analyze new instrumentation to provide added value to expert systems

· Creation of models to solve operational problems and develop troubleshooting tools such as equipment malfunction detection, equipment proactive maintenance.

· Develop the team Artificial Intelligence vision and expertise.

· Define best practices in the domain of Machine Learning and AI.

· Train other team members to support the use of data analytics tools and to expand the use of machine learning within Carmeuse

Additional duties as assigned by management
Job Qualifications:
· Masters Degree or higher in applied data science AI/ML applications preferred.

· Bachelor’s degree in Electrical Engineering, computer science, automation theory or related field with requisite applicable experience can be considered.

· Minimum of 3 years of experience in a data science implementation role. Preferably in the lime/cement/bulk material handling industry. Manufactuing experience required

· AI/ML, Network, security, Microsoft, Cisco certifications.

· Proficiency with process control instrumentation, network protocols, web services, windows, Cisco, Checkpoint and troubleshooting;

· Proficiency and familiarity with

· Tensor flow

· Python and other programming languages

· Experience utilizing Jupyter notebooks.

· Experience with Cloud based vendors of AI/ML solutions: Azure, Google.

· Windows 7/10/server/datacenter

· Detail and process oriented with strong problem resolution abilities; ability to use root cause analysis to troubleshoot;

· Ability to travel up to 20 to 50%. Overnight stays will be required and could include extended assignments during critical construction and start-up periods.",3.8,"Carmeuse
3.8","Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",40.44062479999999,-79.9958864,unspecified,108,145,Pittsburgh, PA,126.5
