Lat,Lon,Location,Count
38.8942786,-77.43109919999999,"Chantilly, VA",5
42.331427,-83.0457538,"Detroit, MI",8
43.2994285,-74.21793260000001,New York State,2
38.9586307,-77.35700279999999,"Reston, VA",4
40.96342,-76.6127329,"Danville, PA",1
38.1074198,-122.5697032,"Novato, CA",2
38.9692771,-77.07886669999999,"Chevy Chase, MD",2
40.7127753,-74.0059728,"New York, NY",101
40.44062479999999,-79.9958864,"Pittsburgh, PA",25
43.135288,-87.9356423,"Glendale, WI",1
41.1264849,-73.71401949999999,"Armonk, NY",3
39.768403,-86.158068,"Indianapolis, IN",2
42.3736158,-71.10973349999999,"Cambridge, MA",21
40.5575986,-74.2846022,"Woodbridge, NJ",2
37.7749295,-122.4194155,"San Francisco, CA",99
37.5407246,-77.4360481,"Richmond, VA",6
42.1275267,-87.82895479999999,"Northbrook, IL",1
43.0389025,-87.9064736,"Milwaukee, WI",3
37.4315734,-78.6568942,Virginia,4
39.9454909,-76.3379045,"Conestoga, PA",1
34.0194543,-118.4911912,"Santa Monica, CA",3
38.6270025,-90.19940419999999,"Saint Louis, MO",6
35.1495343,-90.0489801,"Memphis, TN",2
38.9695545,-77.3860976,"Herndon, VA",7
40.2599864,-74.79091249999999,"Ewing, NJ",1
32.96179,-96.82916850000001,"Addison, TX",20
42.6791832,-70.8411558,"Ipswich, MA",2
34.4208305,-119.6981901,"Santa Barbara, CA",3
34.7303688,-86.5861037,"Huntsville, AL",2
40.7607793,-111.8910474,"Salt Lake City, UT",4
32.7766642,-96.79698789999999,"Dallas, TX",25
37.48521520000001,-122.2363548,"Redwood City, CA",21
41.8239891,-71.4128343,"Providence, RI",2
34.5794343,-118.1164613,"Palmdale, CA",2
37.8043514,-122.2711639,"Oakland, CA",2
39.9525839,-75.1652215,"Philadelphia, PA",2
40.33370379999999,-75.9474322,"West Reading, PA",1
34.165357,-118.6089752,"Woodland Hills, CA",1
44.2619309,-88.41538469999999,"Appleton, WI",1
39.4370508,-76.6196915,"Timonium, MD",1
37.3860517,-122.0838511,"Mountain View, CA",5
42.3600825,-71.0588801,"Boston, MA",53
41.2565369,-95.9345034,"Omaha, NE",1
37.3382082,-121.8863286,"San Jose, CA",21
45.6257379,-122.6760886,"Vancouver, WA",1
45.3332482,-122.5728874,Remote,1
34.0522342,-118.2436849,"Los Angeles, CA",3
39.7392358,-104.990251,"Denver, CO",3
37.4529598,-122.1817252,"Menlo Park, CA",2
39.1031182,-84.5120196,"Cincinnati, OH",2
42.4792618,-71.1522765,"Woburn, MA",1
37.09024,-95.712891,United States,1
33.7489954,-84.3879824,"Atlanta, GA",4
47.6739881,-122.121512,"Redmond, WA",2
41.1321102,-111.9939817,"Hill AFB, UT",1
36.1626638,-86.7816016,"Nashville, TN",3
38.9338676,-77.1772604,"McLean, VA",6
33.0198431,-96.6988856,"Plano, TX",1
38.9071923,-77.0368707,"Washington, DC",25
43.6121087,-116.3915131,"Meridian, ID",1
42.3764852,-71.2356113,"Waltham, MA",20
40.0149856,-105.2705456,"Boulder, CO",1
41.079273,-85.1393513,"Fort Wayne, IN",1
25.7491968,-80.2635411,"Coral Gables, FL",1
39.0997265,-94.5785667,"Kansas City, MO",2
39.0992752,-76.8483061,"Laurel, MD",1
41.8936424,-89.3937142,"Kingdom, IL",1
29.4241219,-98.49362819999999,"San Antonio, TX",19
30.3619837,-89.5994225,"Stennis Space Center, MS",1
37.654656,-122.4077498,"South San Francisco, CA",3
38.8048355,-77.0469214,"Alexandria, VA",3
40.1856597,-75.451571,"Collegeville, PA",1
42.4473497,-71.2271531,"Lexington, MA",21
41.0814447,-81.51900529999999,"Akron, OH",1
47.6062095,-122.3320708,"Seattle, WA",25
35.823483,-78.8255621,"Morrisville, NC",3
39.1202934,-76.77693239999999,"Annapolis Junction, MD",2
41.8781136,-87.6297982,"Chicago, IL",24
25.7616798,-80.1917902,"Miami, FL",1
38.7892801,-77.18720359999999,"Springfield, VA",21
42.0333607,-88.0834059,"Schaumburg, IL",1
33.5185892,-86.8103567,"Birmingham, AL",2
39.0839973,-77.1527578,"Rockville, MD",3
37.3541079,-121.9552356,"Santa Clara, CA",3
40.3470543,-74.0643065,"Red Bank, NJ",1
40.6916132,-112.0010501,"West Valley City, UT",3
41.0534302,-73.5387341,"Stamford, CT",1
28.5999998,-81.33923519999999,"Winter Park, FL",1
46.28042000000001,-119.2751996,"Richland, WA",1
48.51260449999999,-122.6126718,"Anacortes, WA",1
40.813616,-96.7025955,"Lincoln, NE",1
40.4672587,-87.6683573,"Hoopeston, IL",1
42.1014831,-72.589811,"Springfield, MA",1
43.0730517,-89.4012302,"Madison, WI",1
34.055103,-117.7499909,"Pomona, CA",1
27.9658533,-82.8001026,"Clearwater, FL",1
44.977753,-93.2650108,"Minneapolis, MN",3
38.8799697,-77.1067698,"Arlington, VA",1
32.715738,-117.1610838,"San Diego, CA",20
33.9191799,-118.4164652,"El Segundo, CA",1
29.6516344,-82.32482619999999,"Gainesville, FL",1
39.1439689,-77.2016062,"Gaithersburg, MD",20
37.2089572,-93.29229889999999,"Springfield, MO",1
42.5047161,-71.1956205,"Burlington, MA",1
38.9412959,-119.7496216,"Gardnerville, NV",1
39.2903848,-76.6121893,"Baltimore, MD",2
28.0344621,-80.5886646,"Palm Bay, FL",2
35.7795897,-78.6381787,"Raleigh, NC",3
30.267153,-97.7430608,"Austin, TX",6
42.3222599,-83.17631449999999,"Dearborn, MI",2
44.8016128,-68.7712257,"Bangor, ME",2
43.4252776,-88.1834277,"West Bend, WI",2
38.9517053,-92.3340724,"Columbia, MO",2
33.3061605,-111.8412502,"Chandler, AZ",1
47.76011099999999,-122.2054452,"Bothell, WA",19
47.6101497,-122.2015159,"Bellevue, WA",2
35.2270869,-80.8431267,"Charlotte, NC",4
40.83959220000001,-74.4818698,"Morris Plains, NJ",1
37.5629917,-122.3255254,"San Mateo, CA",1
37.5071591,-122.2605222,"San Carlos, CA",4
33.6845673,-117.8265049,"Irvine, CA",1
38.2975381,-122.286865,"Napa, CA",1
39.7589478,-84.1916069,"Dayton, OH",1
41.67176480000001,-72.9492703,"Bristol, CT",1
27.950575,-82.4571776,"Tampa, FL",1
47.2528768,-122.4442906,"Tacoma, WA",1
29.7604267,-95.3698028,"Houston, TX",2
41.8525984,-72.64370219999999,"Windsor, CT",2
36.778261,-119.4179324,California,2
37.7643595,-121.9539616,"San Ramon, CA",1
27.7035428,-82.73016229999999,"Saint Petersburg Beach, FL",1
41.7658043,-72.6733723,"Hartford, CT",1
38.9989499,-84.62661109999999,"Florence, KY",1
37.4418834,-122.1430195,"Palo Alto, CA",2
37.9779776,-122.0310733,"Concord, CA",1
37.6807661,-122.3999715,"Brisbane, CA",1
39.0066993,-77.4291298,"Sterling, VA",1
36.6002378,-121.8946761,"Monterey, CA",1
42.88644679999999,-78.8783689,"Buffalo, NY",1
42.2042586,-72.6162009,"Holyoke, MA",1
40.7526008,-73.6104058,"Carle Place, NY",1
37.5299765,-122.0383968,"Newark, CA",1
40.7439905,-74.0323626,"Hoboken, NJ",1
26.7153424,-80.0533746,"West Palm Beach, FL",1
38.9338676,-77.1772604,"Mc Lean, VA",1
42.732535,-84.5555347,"Lansing, MI",1
36.1539816,-95.99277500000001,"Tulsa, OK",1
38.99066570000001,-77.026088,"Silver Spring, MD",1
33.8358492,-118.3406288,"Torrance, CA",1
40.6687141,-74.1143091,"Bayonne, NJ",1
33.4483771,-112.0740373,"Phoenix, AZ",1
41.98675069999999,-87.8721602,"Rosemont, IL",1
38.0293059,-78.47667810000002,"Charlottesville, VA",1
34.0753762,-84.2940899,"Alpharetta, GA",1
37.5585465,-122.2710788,"Foster City, CA",1
38.71887160000001,-77.15426839999999,"Fort Belvoir, VA",1
38.84622359999999,-77.30637329999999,"Fairfax, VA",19
39.3359385,-76.6977522,"Gwynn Oak, MD",18
42.3370413,-71.20922139999999,"Newton, MA",18
46.8771863,-96.7898034,"Fargo, ND",18
40.7066174,-74.5493284,"Basking Ridge, NJ",18
39.5095556,-76.16411970000001,"Aberdeen, MD",18
28.0836269,-80.60810889999999,"Melbourne, FL",18
40.4862157,-74.4518188,"New Brunswick, NJ",18
