,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Product Designer,$129K-$153K (Glassdoor est.),"About Quora:


The vast majority of human knowledge is still not on the internet. Most of it is trapped in the form of experience in people's heads, or buried in books and papers that only experts can access. More than a billion people use the internet, yet only a tiny fraction contribute their knowledge to it. We want to democratize access to knowledge of all kinds from politics to painting, cooking to coding, etymology to experiences so if someone out there knows something, anyone else can learn it. Our mission is to share and grow the world's knowledge, and we're building a world-class team to help us achieve this mission.

About the Team:


We're creating a repository for all human knowledge. To do this, we need to design systems that make sharing knowledge rewarding and discovering it easy; and that scale to support the participation of the entire planet. Designing a global ecosystem for knowledge sharing, and the platform for businesses to reach this audience, requires a multidisciplinary approach. We're building a diverse team with people of different backgrounds and experiences, empowered to shape strategy while moving quickly and learning as much as possible.

Designers at Quora are building a system to democratize access to all knowledge for the entire world. Our work leverages what we learn about psychological and social dynamics, communities and networks, and systems and policy design, in addition to more typical design skills. We value a diverse team and pursue candor, holism, rigor, care, and awareness in our work.

About the Role:


Quora designers are thoughtful generalists. As a product designer, you'll be responsible for what you design from start to finish: brainstorming solutions, iterating on visuals and interactions however you see fit, and finally implementing your designs in code yourself (no middlemen required!). You work on everything from ranking to UI, from internationalization to moderation systems. Your design decisions are validated through A/B testing and user studies alike, as we value rigor and empathy in equal measure.

Responsibilities:
Work on a product team focused on a major, user-facing area of Quora. Identify high-impact opportunities, design features in pursuit of goals, and explain the rationale for your decisions
Collaborate with engineers to define features and functionality, with other designers for feedback and critique, and with data scientists and user researchers to evaluate the impact of your work
Design interactions for new features, applying existing design patterns and creating new ones, across our platforms
Build what you design using React
Work quickly and effectively on multiple projects. Ship new features, bug fixes, and small improvements multiple times a week
Minimum Qualifications:


A portfolio demonstrating relevant design capabilities is required. Applications without portfolios will not be reviewed
Technical competence with front-end technologies: React, HTML, CSS, JS
Ability to think at a high level about a complex, social product, and to clearly explain reasons for new features and changes
Experience building clear, effective interactions to accomplish product or business goals
Demonstrated visual design skill, especially in the construction of visual hierarchies, and attention to detail on typography, spacing, and color
Interest in using data and user research to inform design decisions. Experience with effective A/B testing is a plus
The number of years of professional experience you have isn't important to us
Preferred Qualifications:


Interest or experience in designing for ads, mobile, or user growth is a plus
Experience with effective A/B testing
Experience with server-side languages like Python
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

California Consumer Privacy Act (CCPA) disclosure",4.1,"Quora
4.1","Mountain View, CA","Mountain View, CA",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
1,Product Designer: Subscriptions,$129K-$153K (Glassdoor est.),"Job Description
The Washington Post is seeking a Product Designer to join its Subscriptions team focusing primarily on our subscribers' experience. This team of UX, UI and visual designers leads design strategy and visual approaches for The Post’s suite of digital products, including our subscriptions, native iOS and Android apps, internal tools, paywall, and account management experiences.
In this Product Designer role, you’ll focus on both the UX and visual design of experiences to support user engagement, browsing and reading experiences, subscriber retention experiences, and new feature conceptualization. You will help define the next generation of digital products for The Washington Post. A passion for designing news and media experiences is a must.
You’ll be part of a team of more than a dozen designers. With your focus on site engagement, you will partner with Product, Engineering, Marketing, the Newsroom, and other business units. You’ll collaborate with product managers and internal stakeholders across multiple teams to identify, ideate on and propose new approaches to our user experience.
This ideal candidate for this role:
Wants to be hands-on with design and design strategy
Constantly looks for ways to improve the way our products look AND work
Loves to collaborate closely with colleagues in research, product management and engineering
Is organized, driven and excited about designing the news products of the future
Can clearly and passionately articulate the thinking behind a design
Is energized by problem-solving and loves to develop solutions for difficult problems
Enjoys gathering user and project requirements to create conceptual wireframes, prototypes, and final designs for user-facing and newsroom-facing products
Loves every aspect of design from visual to typography, ideation through user testing, experimentation, and innovating on design process
Is a passionate expert in human-centered design
Is passionate about identifying and solving problems that will have a positive impact for our users and our business
You have:

A portfolio that shows a strong body of work including outstanding visual and user interface designs
2+ years of design experience on digital platforms
Extensive experience designing interactive applications, preferably editorial
An established track record of producing business results through design
Deep knowledge of research techniques including competitive analysis, user interviews, persona creation and journey mapping
A collaborative spirit and a proven ability to work well with others, building strong partnerships across teams
Experience designing across all platforms including web, mobile, iOS and Android
Comfort with design and prototyping software like Sketch, the Adobe Creative Suite, Invision, and other prototyping tools
Working knowledge of front-end development and best practices for design implementation
Strong presentation and writing skills
Experience with or strong interest in digital media and news
The innovation doesn’t end in the Newsroom – dozens of teams power The Washington Post. We are now hiring the next innovator – how will you Impact Tomorrow?

#washpostlife",4.2,"The Washington Post
4.2","Washington, DC","Washington, DC",1001 to 5000 employees,1877,Company - Private,Publishing,Media,Unknown / Non-Applicable,"New York Times, Google, Politico"
2,Fire Sprinkler System Designer,$129K-$153K (Glassdoor est.),"Absolute Fire Protection is looking for qualified candidates to fill the position of Designer.

A minimum of 2 years of fire sprinkler experience with a design/build fire sprinkler contractor is preferred.

Freelance or contract arrangements will NOT be considered.

We are looking for people who want to grow with us and be a part of our future.

We offer full benefits and competitive salary. We value hard work, innovation, and having fun. Don't just find another job, start a career!

Preferred NICET certification in fire sprinkler layout and design.

We are Absolute Fire Protection of Rockford, IL, we are not affiliated with any other Absolute Fire.",3,"Absolute Fire Protection, Inc.
3.0","Rockford, IL","Rockford, IL",1 to 50 employees,2006,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable,-1
3,Landscape Designer/Sales One Year plus experience required B.S. degree,$129K-$153K (Glassdoor est.),"Natures Path is a family owned business. We are a design/build firm of high end pool/spa and outdoor living spaces.

Responsibilities include:

Site measurements, designing and estimating

Working with 3D Pool Studio

Microsoft Office and Excel

With with clients from beginning till end of project

Keep clients informed of project

Work with construction supervisor to ensure project success

Qualifications:

B.S. degree in architectural design or similar field

3-5 years of experience in outdoor design

Job Types: Full-time, Commission

Salary: $45,000.00 to $52,000.00 /year

Experience:
3ds max and revit: 1 year (Preferred)
landscape design: 3 years (Preferred)
adobe suite, autocad, sketchup, lumion: 1 year (Preferred)
management: 1 year (Preferred)
landscape architecture: 1 year (Preferred)
Additional Compensation:
Commission
Benefits:
Paid time off
Work Remotely:
No",-1,Natures Path Pool and Landscape,"Memphis, TN",-1,-1,-1,-1,-1,-1,-1,-1
4,CNC Programmer/CAD Designer,$129K-$153K (Glassdoor est.),"Somerset Millwork and Cabinetmakers, Inc is looking to expand its operations and is looking for a motivated individual who has some cabinetry and casework experience. Responsibilities include drawing and programming cabinet parts for CNC router using the Alphacam program along with creating shop drawings for commercial and residential casework projects. Some traveling may be required to do field dimensions onsite. Alphacam and or AutoCad experience required.
Job Type: Full-time
Salary: $18.00 to $25.00 /hour
Experience:
CNC Programming: 2 years (Required)
Required travel:
25% (Preferred)
Work Location:
One location
Benefits:
Paid time off
Pay Frequency:
Weekly
Schedule:
Monday to Friday
8 hour shift
Company's website:
www.somersetmillwork.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,Somerset Millwork,"Somerset, PA",-1,-1,-1,-1,-1,-1,-1,-1
5,Art Director,$129K-$153K (Glassdoor est.),"We just keep growing. It’s amazing. Seriously. And if we had to boil our success down, it really comes down to great clients and remarkable people. Not good or solid. But truly remarkable people doing amazing things day after day, month after month, and year after year. It’s a tall order to find new people, because our kind of people tend to be really hard to find.
Are you ready to step out of the shadows?
We’re looking for a remarkable art director with 2-3 years experience. But, we know that sometimes remarkable comes in non-traditional packages. If you think you’ve got the stuff, don’t let “years of experience” stop you, read on.
So, what constitutes remarkable? We’re glad you asked.
Well, to start you can't be rude or an egomaniac.
You should hate, hate, hate boring. The last thing this world needs is another boring anything.
You’d be surprised but just those two mandatories disqualify so many possible candidates. We told you remarkable was hard to find.
Still reading? That’s a good sign.
We're not looking for just an art director; we're looking for a craftsperson. Someone who understands that a big part of success is thinking big, then rolling up your sleeves and getting dirty. And by ""dirty"" we mean: graphite, ink or even blood from a mean callous that split on your pointer finger from overusing a stylus pen or mouse.
Ok, so for those of you who just love a bulleted list here you go.
Responsibilities
Drive winning ideas forward.
Work closely with copywriters, ACD’s, CD’s to maintain an understanding of clients’ business challenges related to creative work and brand voice.
Work on design and layouts to develop and produce a strong, effective, and on-brief advertising campaign across multiple media platforms.
Concept creation and development, design direction, management and execution of overall visual language.
Work across teams regarding branding and visual hierarchy including interactive, pre- and post-production video, social and photography direction.
Interpret and apply brand identity standards effortlessly across all mediums.
Create and present creative concepts and design processes to clients, soliciting feedback and collaboration with clients and teams to ensure effective visual communications.
Qualifications
Exceptional portfolio that displays a strong understanding of design principles.
Experience in digital, video and print.
A work ethic that makes people wonder if you sleep at the office. (Not that you will we’ve got a really great work/life balance thing going on here).
The ability to take constructive critiques of your work by client and co-worker alike in stride.
Self-motivated to do incredible work.
You should love design and love to design. It should show in your work.
2 - 3 years of agency experience.
You should be brilliant at Photoshop. Not proficient, good or even great — brilliant. Same goes for Illustrator and InDesign. Actually, strike that. You should be amazing at finding and using whatever tools you need to make your ideas sing.
It would be great if After Effects and Premier were a little scared of you too. You haven’t beat them yet, but you’ve had some experience and are looking forward to dominating them as well.
You still here? We’ve got to be honest we’re impressed and excited that you might be one of the few. How to apply
If you want to become our new art director, here are a few simple steps you should take:
1. Look at our website. It outlines our philosophy, clients, work, etc. Do your homework. Then, if you get an interview, you can ask us smart questions.
2. Give us your resumé, website, glamour shot, or whatever your version of self-promotion looks like. Design it well, and again, don't be boring. Send it to jobs@paradowski.com with the header “Art Director”. Oh, and make sure the work you send is not the work you think we'll think is OK. Show us the work you love. Show us what makes you remarkable.",4.5,"Paradowski Creative
4.5","Webster Groves, St. Louis, MO","Webster Groves, MO",51 to 200 employees,1977,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1
6,Project Designer,$129K-$153K (Glassdoor est.),"Job Brief
We are looking for an artful Project Designer to undertake a variety of interior and exterior designing projects. You will deal with customers from conceptual development, informing them as to product capabilities, layout, etc. to managing and executing the design.

The goal is to provide the clients with practical opportunities that will help them realize their vision.

Responsibilities
Undertake design project from concept to completion
Define project requirements and schedule during the “brief”
Interpret and translate customer needs into rough plans
Set costs and project fees according to budget
Research and decide on materials and products sourcing
Produce “sample” or “products” for consideration
Supervise work progress
Work closely with clients and installation team
Research and follow industry changes, evolutions and best practices

Requirements
Proven working experience in decorating interior spaces (consultations, renovations, space planning, new construction)
Expertise in layout, color, lighting, materials selection, installations (not required, but a plus).
Excellent portfolio of previous works
Creative talent, imagination and eye for design
Communication and presentation skills
Project management skills
BS degree in Interior Design or similar",-1,Godby Hearth & Home,"Indianapolis, IN","Indianapolis, IN",1 to 50 employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1
7,Fire Sprinkler Designer - 2 years Minimum Experience,$129K-$153K (Glassdoor est.),"We are looking for a Fire Sprinkler Designer with a minimum of 2 years experience.
Job Type: Full-time
Experience:
relevant: 2 years (Required)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off",-1,"Carolina Fire Control, Inc.,",North Carolina,"Concord, NC",51 to 200 employees,-1,Company - Private,Construction,"Construction, Repair & Maintenance",$10 to $25 million (USD),-1
8,AV Systems Designer,$129K-$153K (Glassdoor est.),"General Function:

Reporting to the Regional Vice President (R.V.P.), the AV System Designer (SD) is responsible for ensuring completed designs and functionality for all projects assigned to them and their team. Daily activities include Sales support, PM support, Customer support, overall design concepts and product choices, developing and testing each system in house and performing final optimizations in the field.

Character of the Position:

SPINITAR is a leading Audiovisual Systems Integration, Product, Service organization providing innovative visual communication systems to the industrial / commercial market worldwide. SPINITAR is comprised of four business units: Systems Integration, Presentation Products, Visual Products and Service.

The employee in this position is responsible for designing of the systems integration projects on time, on budget and achieving high satisfaction from our customers. The majority of this employee's time will be spent on overall project design, collaborating with the project team (ie. SD, AM, PM, INST, PROG, CUST, ASD), and responsible for the testing of the system in the shop and field optimization.

This person will maintain deep knowledge of all assigned projects and communicate daily with the project team and the Director, Technical Operations to address scheduling issues or technical difficulties.

They will focus on creating efficiencies in the workflow process to help Spinitar maintain growth and profitability. This person will be held accountable for following the approved Spinitar processes and the overall design and functionality of the project.

This person works in conjunction with the entire project Team (specifically the ASD).

Responsibilities:

General

1. Make SPINITAR a fun, profitable, world-class and customer intimate provider and integrator of audio visual solutions.

2. High level of customer interaction required

3. Ensure Project documentation standards are followed

4. Overall responsible party for the design of a Spinitar Integration Project

5. Maintain current industry certification(s)

6. Training customers on equipment and products as needed

7. Provide adequate sales support as needed

8. Responsible for understanding the customers scope and vision for the project and communicating that throughout the project team

9. Testing and Commissioning of all systems

10. Daily entry of time into the Spinitar Café system

Project Specific will follow the Spinitar System Integration Workflow (details below)
Sales Phase
a. Act and serve as a sales designer if/when needed
Design Phase
a. Attend kick-off meeting

b. Perform initial site walk with PM and validate performance scope with customer

c. Visio/draw the details as required, the following items for inclusion in the design package. Submit to ASD (Associate Systems Designer) or CAD as required for completion of design package.

i. Conceptual drawings

ii. Functional drawings

iii. Video Single line

iv. Audio Single line

v. Room layout screens, projectors

vi. Speaker placement

vii. Floor and wall plates

viii. Site Line drawings

ix. Rack Elevations

x. Structural drawings

d. Lead design review with the project team

e. Validate with ASD that the equipment list is accurate and all system elements (ie. cable, connectors, rack plates, etc.) are present and needed

f. Perform value engineering (improving performance of the design, while at the same time maintaining/reducing costs) by working with the ASD

g. Approve and sign-off all final design and drawing packages

h. Actively participate in Inventory reduction and control
Pre-Install Phase
a. Gather design intent of audio DSP code by gathering requirement from customer and discussing approach with ASD.write the DSP configuration.

b. Load all programming and configurations in the system for testing(working in conjunction with the ASD)

c. Conduct In-House test for functionality and sign-off before allowing the system to be deployed to site (working in conjunction with the ASD)
Install Phase
a. Be available to install team for any site related questions

b. Perform final install tests and optimization of the system (working in conjunction with the ASD)
Closeout Phase
a. Own completion of technical punch list

b. Ensure as-built drawings are correct and turned into ASD for completion

c. Perform customer training

Qualifications:

4+ years of A/V experience

Strong customer relation skills

Strong technical and troubleshooting skills

Self-motivated

CTS

CTS-D

ISF-C

Suggested Education Certifications and Professional Degrees:

CTS-I

BA or BS in Engineering or Electronics

Job Type: Full-time

Work Location:
Multiple locations
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Relocation assistance
Professional development assistance
Schedule:
Monday to Friday
Day shift",4,"Spinitar
4.0","Carlsbad, CA","La Mirada, CA",51 to 200 employees,1986,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",$50 to $100 million (USD),-1
9,Project Architect/Designer (Min 5 years exp req.),$129K-$153K (Glassdoor est.),"Apply for this job

Wade Architecture is currently seeking a seasoned Project Architect with a minimum 5 years of experience, to be responsible for performing a variety of tasks including working jointly with Design Principals relative to the internal and external tasks of managing, executing, and coordinating architectural projects, as well as preparing design and construction documents, and managing/coordinating construction administration services. The project Architect shall be responsible for preparing construction documents and assisting the Project Manager with various other project tasks. Ideal candidates will have excellent communication skills and a broad base of experience in all aspects of design, documentation, and construction administration.

Qualifications/Skills:

Bachelors degree in Architecture with licensing in process at a minimum.

Proficient with Revit, AutoCAD, Sketch Up, Adobe Suite and other modeling and graphic software

Knowledge of Microsoft Office applications

Strong conceptual and schematic design skills

Solid understanding of building construction, codes, and its different components

Able to produce a fully coordinated set of construction documents

Strong personal organizational, time management, and leadership skills

Ability to multi-task and work with a group and on an individual basis

Interacts positively and effectively with members and clients

*Include Portfolio along with Resume in PDF Format

Benefits:

Competitive compensation and annual bonus incentives

Medical, Dental, Vision and Short & Long-Term Disability Insurance

Paid Time Off, Holiday Pay, and Flexible Hours

401(k) with company match

Advancement opportunities

Who we are:

We are a diverse group of architects who aspire to make our communities wonderful places to live, work and leisure, a small-firm with large-firm resources. We leverage the heart, passion, and intelligence of our team to develop solutions for some of the challenges facing our clients and society. Whether designing for pleasant living, accessible healthcare, inclusive communities, or new concepts in business, we partner with organizations to help them improve human life. Collaboration and transparency are at the heart of all our efforts, and we approach every project as an opportunity to find the best and most sustainable solutions.

We are proud to say that, 90% of our projects come from a solid base of return clients, built over time on the premises of great service, personal attention, and outstanding results.

Job Type: Full-time

Salary: $50,000.00 to $70,000.00 /hour

Experience:
project architect: 5 years (Required)
Additional Compensation:
Bonuses
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off
Flexible schedule
Schedule:
Monday to Friday
No weekends
8 hour shift
Work Remotely:
No",-1,Wade Architecture,"Hagerstown, MD","Hagerstown, MD",1 to 50 employees,-1,Private Practice / Firm,-1,-1,Unknown / Non-Applicable,-1
