Lat,Lon,Location,Count
37.3860517,-122.0838511,"Mountain View, CA",22
38.9071923,-77.0368707,"Washington, DC",9
42.2711311,-89.0939952,"Rockford, IL",1
35.1495343,-90.0489801,"Memphis, TN",1
40.008411,-79.0780831,"Somerset, PA",1
38.5925524,-90.3573389,"Webster Groves, St. Louis, MO",1
39.768403,-86.158068,"Indianapolis, IN",5
35.7595731,-79.01929969999999,North Carolina,1
33.1580933,-117.3505939,"Carlsbad, CA",1
39.6417629,-77.71999319999999,"Hagerstown, MD",1
34.0753762,-84.2940899,"Alpharetta, GA",2
43.9015631,-70.468437,"Raymond, ME",1
29.7604267,-95.3698028,"Houston, TX",24
34.2506356,-118.61481,"Chatsworth, CA",1
37.3382082,-121.8863286,"San Jose, CA",23
36.9877274,-119.7118118,"Friant, CA",1
37.48521520000001,-122.2363548,"Redwood City, CA",4
43.7486054,-87.9770379,"Plymouth, WI",1
45.5051064,-122.6750261,"Portland, OR",3
44.9537029,-93.0899578,"Saint Paul, MN",1
43.2304552,-89.2657266,"Windsor, WI",1
33.6845673,-117.8265049,"Irvine, CA",7
35.2270869,-80.8431267,"Charlotte, NC",2
43.6414716,-70.2408811,"South Portland, ME",1
43.15657789999999,-77.6088465,"Rochester, NY",2
38.3708415,-97.66420869999999,"McPherson, KS",1
61.2180556,-149.9002778,"Anchorage, AK",4
41.8781136,-87.6297982,"Chicago, IL",41
40.7607793,-111.8910474,"Salt Lake City, UT",6
26.1224386,-80.13731740000001,"Fort Lauderdale, FL",3
40.3916172,-111.8507662,"Lehi, UT",3
38.9624899,-77.4380485,"Dulles, VA",1
45.4194099,-94.0488721,"Clearwater, MN",1
43.0730517,-89.4012302,"Madison, WI",1
34.2694474,-118.781482,"Simi Valley, CA",1
38.7881062,-90.4974359,"Saint Charles, MO",1
42.3764852,-71.2356113,"Waltham, MA",2
35.79154,-78.7811169,"Cary, NC",1
40.7127753,-74.0059728,"New York, NY",82
39.8916537,-105.7630624,"Winter Park, CO",1
34.1898566,-118.451357,"Van Nuys, CA",1
30.267153,-97.7430608,"Austin, TX",8
45.3332482,-122.5728874,Remote,1
40.0333961,-83.1582451,"Hilliard, OH",1
40.79676670000001,-74.4815438,"Morristown, NJ",1
43.0389025,-87.9064736,"Milwaukee, WI",5
37.7749295,-122.4194155,"San Francisco, CA",110
34.9248667,-81.02507840000001,"Rock Hill, SC",1
40.1606666,-74.0679753,"Wall Township, NJ",1
40.2884395,-75.2090623,"Chalfont, PA",2
33.1212321,-97.1833475,"Argyle, TX",1
41.0534302,-73.5387341,"Stamford, CT",1
40.6266318,-80.05497679999999,"Wexford, PA",2
38.6270025,-90.19940419999999,"Saint Louis, MO",28
40.3101063,-75.1298939,"Doylestown, PA",1
42.2011538,-85.5800022,"Portage, MI",1
32.7766642,-96.79698789999999,"Dallas, TX",24
42.1014831,-72.589811,"Springfield, MA",1
40.0131418,-75.23040379999999,"Bala Cynwyd, PA",2
38.9338676,-77.1772604,"McLean, VA",20
39.1031182,-84.5120196,"Cincinnati, OH",4
32.715738,-117.1610838,"San Diego, CA",2
28.3180688,-80.6659842,"Merritt Island, FL",1
43.0528506,-74.3437467,"Gloversville, NY",1
41.9778795,-91.6656232,"Cedar Rapids, IA",1
47.1301417,-119.2780771,"Moses Lake, WA",1
41.7014912,-71.1550451,"Fall River, MA",1
39.0839981,-76.7002462,"Odenton, MD",1
42.3600825,-71.0588801,"Boston, MA",26
37.0870821,-76.4730122,"Newport News, VA",1
35.7795897,-78.6381787,"Raleigh, NC",3
34.2163937,-119.0376023,"Camarillo, CA",1
41.2565369,-95.9345034,"Omaha, NE",1
38.2856247,-85.8241312,"New Albany, IN",1
40.7472594,-89.5739845,"Peoria Heights, IL",1
39.9525839,-75.1652215,"Philadelphia, PA",23
26.3184123,-80.09976569999999,"Deerfield Beach, FL",2
39.1202934,-76.77693239999999,"Annapolis Junction, MD",1
37.3541079,-121.9552356,"Santa Clara, CA",2
33.9802893,-118.4517449,"Marina del Rey, CA",1
42.331427,-83.0457538,"Detroit, MI",1
39.6477653,-104.9877597,"Englewood, CO",1
40.5852602,-105.084423,"Fort Collins, CO",1
37.5407246,-77.4360481,"Richmond, VA",1
43.09721740000001,-89.5042876,"Middleton, WI",1
33.9462125,-84.3346473,"Dunwoody, GA",1
42.4733688,-83.2218731,"Southfield, MI",1
47.6062095,-122.3320708,"Seattle, WA",8
38.984652,-77.0947092,"Bethesda, MD",2
29.6516344,-82.32482619999999,"Gainesville, FL",1
37.2295733,-80.4139393,"Blacksburg, VA",1
42.3370413,-71.20922139999999,"Newton, MA",1
33.5386523,-112.1859866,"Glendale, AZ",1
39.9567548,-86.01335,"Fishers, IN",1
40.2750705,-80.4606225,"Avella, PA",1
47.3809335,-122.2348432,"Kent, WA",1
47.6101497,-122.2015159,"Bellevue, WA",1
34.0197335,-117.9586754,"City of Industry, CA",1
37.7643595,-121.9539616,"San Ramon, CA",2
42.3222599,-83.17631449999999,"Dearborn, MI",2
44.977753,-93.2650108,"Minneapolis, MN",1
38.88233400000001,-77.1710914,"Falls Church, VA",2
