Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,job_simp,company_txt,Seniority,Minimum Estimate,Maximum Estimate,City,State,BS Required,AvgSalary,same_state,company_age,python_yn,java_yn,javascript_yn,c/c++_yn,html/css_yn
Software Engineer,$60K-$63K (Glassdoor est.),"Job Description

CSI’s Payments Software Engineers provide technical support for multiple finance applications.In this position you will provide highly technical solutions in the development of applications to solve basic to complex problems.You will work cross-functionally with other departments to evaluate product requirements and ensure that data and reports are processed accurately and in a timely manner for CSI customers.

Job Responsibilities
Responsible for developing, implementing, and maintaining multiple applications
Test and release updates to code in sprints according to Agile standards
Develop and maintain a keen functional understanding of the supported applications
Execute and document detailed test plans and contribute to peer code reviews
Understand complexities of moving data among various interfacing applications and platforms
Plan and report activities based on leadership directive
Document programs according to Software Engineering Group standards
Demonstrate an ability to quickly diagnose and resolve system trouble calls
Knowledge, Skills and Abilities:
Bachelor's Degree (preferably in Computer Engineering/Science) or equivalent
Experienced with application development - knowledge of COBOL, Unix, scripting and SQL preferred
Experience with Agile methodology a plus
Prior experience demonstrating analytical skills
Good written and verbal communication skills at both technical and business levels
Ability to work independently as well as in a team environment
Strong attention to detail, with respect for data sensitivity
Excellent problem-solving skills to assist in sometimes urgent issue resolution
Capable to working on multiple projects of a complex nature
CSI also offers a competitive compensation package to include paid vacation, 401k, profit sharing, medical insurance to include dental and vision, and much more!

For more information on CSI, visit our website atwww.csiweb.com.",4.0,"Computer Services
4.0","Valparaiso, IN","Paducah, KY",1001 to 5000 employees,1965,Company - Public,Financial Transaction Processing,Finance,$100 to $500 million (USD),Unknown,Reg,"Computer Services
",unspecified,60,63,Valparaiso, IN,yes,61.5,No,55,No,No,No,No,No
Software Engineer,$60K-$63K (Glassdoor est.),"We are AAM. We have the POWER to move the world.

At AAM, we're looking for associates who push boundaries and drive solutions for the future. Innovators. Thinkers. Dreamers. Doers. No matter the role or function, every associate is a piece of what makes AAM great. Were growing and building #TeamAAM to be the best. Join us!

Job Posting Title

Software Engineer

Job Description Summary

Job Description Summary
Join the rapidly growing team of motivated software engineers designing, developing, and testing embedded software for driveline systems. Work in a team environment to develop platform and application software used across a diverse portfolio of driveline products. Projects are highly complex and original, requiring strategic direction, cross-disciplinary integration, and ingenuity of approach.

Job Description
Responsible for design, development and testing of software components
Develop and configure AUTOSAR components
Create detailed designs to link the software implementation to the requirements
Develop software code in C to implement the software design
Conduct unit and integration tests to validate the software implementation
Support issue analysis and corrective action definitions
Develop software in an ASPICE compliant process
Required Skills and Education
Bachelor Degree in relevant engineering field
2+ years in automotive embedded software development
Ability to travel up to 10% of the year
Excellent C/C++ programming experience
Experience with AUTOSAR components and configuration tools
Experience with vehicle communication (CAN, CAN FD, Flex Ray) and diagnostic protocols
Familiar with developing flashable boot loaders
Familiar with Lauterbach debugging tools
Exposure to model based development and auto-code generation of embedded software using Simulink/Stateflow
Familiarity with developing in an ASPICE environment
Familiarity with ISO26262
Excellent Organizational skills
Excellent verbal and written communication in English
Strong analytical skills
About American Axle & Manufacturing

For over 20 years, customers around the world have entrusted AAM to design, engineer, validate and manufacture driveline and metal forming technologies for automotive, commercial and industrial markets. Today, we are a premier global Tier 1 automotive supplier with broad capabilities across multiple product lines to deliver efficient, powerful and innovative solutions for our customers. Weve earned the trust of our suppliers and our customers through our steadfast commitments to quality, operational excellence and technology leadership.

AAM delivers power. We deliver power literally through vehicle components, systems and innovation, but we also deliver power in ways unseen. We power our associates, their families, and the communities in which we operate. Our global team of over 21,000 associates has a clear vision of where AAM is going and how we are going to get there. After all, they are the reason we are a leader in the automotive industry. We are powering the future. We are AAM. Move with us, and join #TeamAAM.

AAM will not discriminate against any Associate or applicant for employment because of age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. AAM will take affirmative action to ensure that applicants are employed, and that Associates are treated equally during employment, without regard to their age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. For the Disabled Job Seeker: We offer reasonable accommodations for qualified disabled individuals who are applicants for employment. To request assistance or accommodations, please e-mail aamhr@aam.com . AAM is an equal opportunity/affirmative action employer.

Unsolicited Resumes from Third-Party Recruiters

Please note that as per AAM policy, we do not accept unsolicited resumes from third-party recruiters unless such recruiters were engaged to provide candidates for a specified opening. Any employment agency, person or entity that submits an unsolicited resume does so with the understanding that AAM will have the right to hire that applicant at its discretion without any fee owed to the submitting employment agency, person or entity.",3.3,"American Axle & Manufacturing
3.3","Detroit, MI","Detroit, MI",10000+ employees,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),Unknown,Reg,"American Axle & Manufacturing
",unspecified,60,63,Detroit, MI,yes,61.5,Yes,26,No,No,No,Yes,No
Software Engineer,$60K-$63K (Glassdoor est.),"Preferred Qualifications
A strong foundation in programming fundamentals, design patterns, data structures, object-oriented design principles, unit testing, and modern version control flows
Willingness to learn new languages and technologies
2 years of development experience in a multilayered n-tier style architecture
Comfort with one or more of the following languages: C# (or other .NET language), JavaScript (either back-end, e.g., NodeJS, and/or front-end, such as Angular, React, or Vue), Java (or other JVM-based language), PHP, Python, Ruby, Progress, Erlang/Elixir, or others like these.
Experience working with some form of distributed technology like gRPC, GraphQL, or REST over HTTP.
Understanding of and experience working in a continuous integration and continuous delivery environment
Experience working with software automation frameworks to do functional testing
Experience developing applications in a cloud environment, such as AWS or Azure
Experience using DevOps-focused technologies, such as Docker, Terraform or CircleCI
Comfort working on the command line
Portfolio and code samples you can share
Experience working with functional programming
Awareness to identify and pay off technical debt, as well as realizing and removing code smells early during development and code review
Job Summary

The Software Engineer analyzes user needs and uses various programming languages to develop, improve, test and/or maintain software that meets user needs. These responsibilities require this team member to take an active role in design and code reviews, assist with delivery estimates and provide feedback about all aspects of the process.

Responsibilities
Solve problems by crafting software solutions using maintainable, testable and modular code
Collaborate within a team by participating in code reviews, pairing sessions, architecture discussions and planning ceremonies
Write robust, testable code, along with unit, functional, acceptance and/or user tests to validate every change
Challenge your fellow team members to grow and enhance our team with new, diverse talent
Mentor interns and other software engineers to grow their technical skills
Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past 10 consecutive years, 2010 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),"Citi, Bank of America, Wells Fargo",Reg,"Quicken Loans
",unspecified,60,63,Detroit, MI,no,61.5,Yes,35,Yes,Yes,Yes,No,No
Test Engineer,$60K-$63K (Glassdoor est.),"Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you'll help protect our national security while working on innovative projects that offer opportunities for advancement.

Currently, ManTech is seeking a motivated, career and customer-oriented Test Engineer to join our team in Clarksburg, WV.

The DOJ (Department of Justice) Division provides cyber solutions to a wide range of Defense and Intelligence Community customers. This division consists of a team of technical leaders that deliver advanced technical solutions to government organizations. Our customers have high standards, are technically adept, and use our products daily to support their mission of protecting national security. Our contributions to our customer's success is driving our growth.

As the Mid-Level Test Engineer, you will review and evaluate complex test specifications, test results, test trends and implements corrective action as needed.

A qualified candidate will be responsible for the following duties and responsibilities, but are not limited to:

Evaluates, recommends, and implements automated test tools and strategies.
Designs, implements, and conducts test and evaluation procedures to ensure system requirements are met.
Develops, maintains, and upgrades automated test scripts and architectures for application products. Also writes, implements, and reports status for system test cases for testing.
Serves as subject matter specialist providing testing know-how for the support of user requirements of complex to highly complex software/hardware applications.
Directs and/or participates in all phases of risk management assessments and software/hardware development with emphasis on analysis of user requirements, test design and test tools selection.

Required Qualifications:
BA/BS in Computer Science, Information Security, or related field; or equivalent preferred
4 - 7 years of directly related work experience preferred
Experience with COMPS a major plus

Security Clearance Requirement:
Must be a US citizen with a Top Secret clearance is required.

Physical Requirements:
Must be able to remain in a stationary position 50% of the time.

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech International Corporation
4.1","Clarksburg, WV","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),Unknown,Reg,"ManTech International Corporation
",unspecified,60,63,Clarksburg, WV,no,61.5,No,52,No,No,No,No,No
Lead Embedded Software Engineer - Wearables,$60K-$63K (Glassdoor est.),"Job Description


Bose Corporation’s Consumer Electronics Product Engineering (CEPE) is seeking a highly-motivated and self-driven individual to join our Wearables Embedded Software development team. As an Embedded Software Engineer at Bose, you will be developing software to bring our next generation of wearables to life, including Bose’s industry leading Bluetooth noise cancelling headphones and innovative new wearable form factors. You will have the opportunity to work collaboratively with a group of world class embedded engineers to define and implement the software architecture for Bose’s next generation of products.

Responsibilities:
Design, implement and deploy embedded software for new products that include technologies like Bluetooth, Active Noise Reduction and mobile app interfaces.
Design modular software that is maintainable, scalable and reusable across Bose’s product line
Analyze complex technical problems and propose design of comprehensive solutions
Contribute to all phases of the product software lifecycle, including requirements analysis, design, implementation, unit-test, automation, release, support, and documentation
Requirements:
Experience with C/C++ in an embedded environment within the context of a larger system
Experience leveraging build tools like cmake, Electric Flow, and Jenkins
Experience using software configuration management tools in a large-scale software program
Experience implementing complex embedded software in a resource limited RTOS based system
Has delivered firmware for at least one product successfully launched into mass production
Experience with common peripherals such as USB, I2C, I2S or SPI
Experience bringing up and debugging hardware using logic analyzers, oscilloscopes, etc.
Experience with one or more scripting languages, python preferred
Familiarity with Bluetooth and BLE or other communication protocols a plus
Strong troubleshooting and root cause analysis skills
Demonstrated ability to work on teams and a desire to learn from others
Strong spoken and written communication skills
Passion for consumer electronics and a desire to shape the future of Bose products
Experience using UML and block diagrams to represent software architectures and designs
Education: BSEE/BSCS/BSCE with a minimum of 5 years related work experience.

Bose is an equal opportunity employer that is committed to inclusion and diversity. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics. For additional information, please review: (1) the EEO is the Law Poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf); and (2) its Supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm). Please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/.pdf. Bose is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to Wellbeing@bose.com and let us know the nature of your request and your contact information.",3.6,"Bose
3.6","Framingham, MA","Framingham, MA",5001 to 10000 employees,1964,Company - Private,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),Unknown,Reg,"Bose
",senior,60,63,Framingham, MA,no,61.5,Yes,56,Yes,No,No,Yes,No
Software Engineer II,$60K-$63K (Glassdoor est.),"Software Engineer II

This Software Engineer II level position will be responsible for both back-end and front-end development in Java/J2EE related technologies. The candidate should be equally proficient in both back-end technologies as well as the front-end technologies. The candidate will be a part of the core product development team at Kryterion. The responsibilities include low level design, development, unit testing and code reviews, among other things. The candidate, on a day-to-day basis, will be interacting closely with the rest of the product development team, DevOps, Operations and the QA team as part of the scrum team working together. The candidate will work closely with the product architect to understand the product requirements, before being involved in the design and development of any feature regarding the front-end or the back-end development.

DUTIES & RESPONSIBILITIES:

· Work with the rest of the product development team on low level design, development, unit testing by following the Kryterion established standard processes for development and by using the development & work management tools used at Kryterion.

· Work closely with the manual and automation testing team members to properly identify the scope of different features and helping the QA team to identify ways and means of testing the feature or an issue thoroughly.

· If needed, will pair up with a QA resource and test the feature or issue as part of regular sprints.

· Work with the architect in understanding the change, whether it’s a feature or an enhancement before getting down to the low-level design and implementation.

· Be able to understand how to work with tools like JIRA, GITLAB, Ansible, Jenkins and Confluence, which are used as part of day-to-day work.

· Be a part of the scrum team; working closely within the confines of Agile methodology to accomplish the day-to-day tasks.

· Be able to contribute on small or big features or enhancements that come as part of business product backlog or as part of the technical debt identified for the improvement of the core product.

· Be an active part of the DevOps initiative we are trying to adopt within the group, thereby not just involved in the development aspect, but also to play a role with building and deploying the artifacts in non-prod environment by closely working with the DevOps and Operations team.

· Be proficient at the database concepts and very comfortable at creating and running simple to complex SQL that will help in any regular problem solving or even the development effort that may need a change to the Database schema as needed.

DESIRED SKILLS & EXPERIENCE

Education:

- BS/MS degree in Computer Science, Engineering, or related field

Experience:

- 3 to 6 years of experience with Java and Web based technologies with real time experience in the software projects’ implementation.

- Proficient in Java, Spring Framework, Spring boot, Spring security, Spring MVC, CSS libraries such as Bootstrap.

- Good knowledge on JavaScript & jQuery. Experience with modern UI frameworks like Angular or Vue.js is a plus.

- Experience in using ORM tools like Hibernate or Open JPA

- Well versed with test driven development methodology. Be able to pair up with QA team member as part of regular development and testing process during Sprints.

- Strong experience working in an agile development environment.

- Expertise in relational databases (MySQL or MariaDB) with the ability to write any type of queries as part of problem solving and troubleshooting.

Special Skills:

· Knowledge of cloud hosting environment like AWS is a plus.

· Thorough knowledge of software development processes.

· Knowledge of continuous integration and continuous deployment principles

· Very strong analytical and problem-solving skills

· Good written and verbal communication",3.0,"Kryterion Inc
3.0","Phoenix, AZ","Phoenix, AZ",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),"Pearson VUE, Prometric, PSI Services",Reg,"Kryterion Inc
",unspecified,60,63,Phoenix, AZ,no,61.5,Yes,19,No,Yes,Yes,No,No
Software Engineer,$60K-$63K (Glassdoor est.),"Who We Are:
Bectran, Inc. was founded in 2010 with the revolutionary idea of creating a definitive SaaS platform to address mundane and complex credit management tasks through automation. Since then, we have completely transformed the Credit Departments of companies in multiple industries, from small and medium-scale companies to Fortune 1000 global companies.
Our Engineering Department exists at the core of our organization. This analytical and innovative team works diligently to ensure clients’ needs are exceeded through the creation and delivery of transformative technologies.

What You’ll Do:
Objectively analyze and design applications and systems throughout the software development process
Plan, analyze, document and transform software requirements from clients into feasible designs that are within time and cost constraints
Collaborate with Platform and Development teams to create innovative solutions to complex problems
Create features using feedback from clients
Improve organizational operations by conducting systems analyses and recommending improvements
Application development, integrating with external APIs using webservices, Junit, Debugging skills.
Product development using Eclipse, SVN, JUnit, Maven, PrimeFaces

What You Need to Be Successful:
Bachelor’s or Master’s degree in computer science, engineering or related field
Strong experience with Hibernate, Java, J2EE, Web Services, MySQL, jQuery, JavaScript, XML, JSON and database management
Functional knowledge of Agile Methodology and common design patterns
Ability to develop applications that easily integrate with external APIs
Knowledge of Service Oriented Architecture (SOA) and MVC Design patterns
Knowledge of JSF framework and lifecycle is highly preferable
Exceptional ability to learn new skills quickly, solve complex problems and successfully meet multiple deadlines
Self-starter, results-oriented
Eagerness to grow/learn

What You’ll Love About Bectran:
Developing strategic industry knowledge and driving your own success
Watching your hard work have a direct impact on the success of the company
100% Company Covered Medical, Dental, and Vision Insurance
PTO and paid holidays
Company paid Wellness and Fitness programs
Relaxed, casual dress code

As Bectran continues to expand in the Fintech SaaS industry, we are seeking intelligent, hard-working and highly-skilled individuals to join our growing Engineering team. If you are ready to expand your knowledge as you solve complex problems, we want to hear from you!",2.7,"Bectran
2.7","Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),Unknown,Reg,"Bectran
",unspecified,60,63,Schaumburg, IL,yes,61.5,Yes,10,No,Yes,Yes,No,No
Senior Software Engineer,$60K-$63K (Glassdoor est.),"Buildium is looking for smart, driven, enthusiastic senior software engineers to join our team. Our core product is an all-in-one property management platform designed for real estate professionals to take control of their business by streamlining their accounting, maintenance, communication, and leasing processes in the cloud.

As a Sr. Software Engineer, you'll be part of a cross-functional product team delivering new features to our client base of over 14,000 property managers and housing associations. This is a great chance to be part of a growing organization that is dedicated to engineering best practices and processes as well as continually providing opportunities for professional growth.

Responsibilities
Work in two-week sprints building new features and enhancing existing features of the Buildium platform using technologies like C#, ASP.NET Web API, Angular, and MySql.
Full stack design and development with a focus on maintainability, usability, scalability and performance.
Be a positive influence on the team through design reviews, collaborating with other developers on the team, and ensuring adherence to coding and testing standards.
Work closely with product managers to understand the future business direction with the goal of architecting the platform optimally.
Work closely with technical leads and other stakeholders to develop project plans and participate in resource planning.
Contribute ideas and work on solutions to evolve our CI/CD processes and tools.
Maintain a high awareness of industry issues and trends, particularly in regard to web technologies, .NET, microservices, cloud computing (AWS), and automated unit testing.
Participate in our engineering guilds, focus groups, and tech talks to contribute to the research and implementation of new technologies, tools, and architectural patterns.
Qualifications
5+ years of experience in developing customer-facing software
Hands-on experience with C#, .NET 4.5/.NET Core, ASP.NET MVC/Web API and JavaScript frameworks like Angular, React, and/or Vue
Hands-on experience working with creating and consuming REST web services and APIs
Experience working with writing SQL queries and designing databases (MySql is a plus)
Understanding of source code management tools such as Git, and the workflows associated with them (branching and merging)
Excellent presentation and facilitation skills
Bachelor's degree in computer science or equivalent work experience
Benefits and Perks
Casual and collaborative work environment
Flexible time off
Medical, dental & vision insurance
401(k) retirement plan with company match
Parental leave
Flexible spending and dependent care accounts
Commuter benefits
Free lunch Thursdays
Ping Pong, Foosball, etc
Free snacks
At Buildium, we're always looking for smart, driven, enthusiastic professionals who want to join our team. Our vision is to create a 100-year company with a mission of helping small businesses succeed all while setting the highest standard for the way business should be done. Those aren't just words on our wall they are words we live by. We love what we do. We love what we're building. And we love our customers. If that sounds like something you want to be a part of, we want to hear from you.

Buildium is an equal employment opportunity employer and considers qualified applicants without regard to gender, sexual orientation, gender identity, religion, race, veteran or disability status. We celebrate diversity and are committed to building an inclusive work environment where all employees feel a sense of belonging while bringing their authentic self to the table and being valued for it.",4.8,"Buildium
4.8","Boston, MA","Boston, MA",51 to 200 employees,2004,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown,Reg,"Buildium
",senior,60,63,Boston, MA,yes,61.5,Yes,16,No,Yes,Yes,No,No
"Jr. Software Engineer (JAVA, C/C++)",$60K-$63K (Glassdoor est.),"Overview


Peraton is seeking a highly motivated junior level Software Engineer to perform design, development and integration for SIGINT applications and processing systems. The team member will collaborate with a talented group of Software Engineers to bring innovative software solutions and products to our end customers. There are opportunities available for work on multiple programs with varied products and end users.

Responsibilities


What you'll do...

Provide input into the software components of system design to include hardware/software trade-offs, software reuse, use of COTS/GOTS in place of new development and requirements analysis and synthesis from system level to individual software components. Once software development is complete, the Software Engineer will support integration of the code into the system and testing of the system. The software engineer may also travel with the team to install, test, and train the system at remote sites.

Qualifications


You’d be a great fit if you have...
Bachelor’s Degree in Computer Science, Math, Engineering or related Technical field with at least 1-2 years’ of professional software engineering experience.
Development/Maintenance experience with Java, C/C++
It’d be even better if you have...
At least 2 years of experience in software development/engineering, including requirements analysis, software development, installation, integration, evaluation, enhancement, maintenance, testing and problem diagnosis/resolution are required.
Development/Maintenance experience with Java, C/C++, Python, Ruby, Bash, MySQL, Mongo, Machine Learning a plus.
Experience with Digital Signal Processing (DSP) a plus, but not required.
Fundamental software engineering life-cycle experience. Analysis, design, development, debugging, deployment and automated testing.
Familiarity with CM/build tools such as Jenkins, Subversion, Maven, Hudson.
Experience with Agile methods, Scrum, and SharePoint.
Maintaining knowledge of industry trends and standards.
Ability to enhance and support a software application (government or commercial) deployed to production user.
Innovative thinker with good problem solving and communication skills.
Security+ or comparable DoD8570 certification a plus, but not required.
SECURITY CLEARANCE:
Must possess a TS/SCI security clearance and Polygraph and maintain the clearance.
What you’ll get…
An immediately-vested 401(K) with employer matching
Rapid PTO accrual schedule with floating holidays
Comprehensive medical, dental, and vision coverage
Tuition assistance, financing, and refinancing
Paid maternity and paternity leave
Company-paid infertility treatments
Cross-training and professional development opportunities
The ability to influence major initiatives
About Peraton


At Peraton, we’re at the forefront of delivering the next breakthrough in national security, every day. We’re the partner of choice to help solve some of the world’s most daunting challenges. How? By thinking differently. We’re not mired in the past. We look at all problems with fresh eyes. We look past the obvious to bring the best talent, tech, and ideas together to completely transform how problems are solved. So bring your unique ideas, your entrepreneurial spirit, and your drive to succeed. Get ready to be part of something bigger. Get ready to do the can’t be done.

EEO Statement


We are an Equal Opportunity/Affirmative Action Employer. We consider applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law.",3.4,"Peraton
3.4","Aurora, CO","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Unknown,Reg,"Peraton
",junior,60,63,Aurora, CO,yes,61.5,No,3,Yes,Yes,No,Yes,No
Software Engineer,$60K-$63K (Glassdoor est.),"Overview


With over 10,000 online merchants launching subscriptions and over 1,000,000 subscribers powered by ReCharge, we have a lot of store owners to support. Our mission to make repeat orders easier began five years ago as a bootstrapped startup and today we're at the forefront of recurring billing software with over 175 remote-first employees around the globe processing hundreds of millions of dollars in sales every month.

We're looking for a Software Engineer to join our feature team and collaborate on a critical part of the platform by delivering world class features to our end users. This team is responsible for developing end user customer experiences, making sure they function as designed, and are delivered on time.

Our stack includes: Python, Flask, Jinja, ES6, Vue.js, Sass, Webpack, Redis, Docker, GCP, Terraform, Ansible, Memcached, Nginx, Snowflake, Looker, Matillion

What You'll Do
Live by and champion our values: #ownership, #empathy, #simple-solutions.
Write Python code focused on scalability, testability, supportability and maintainability.
Implement new technologies to solve ReCharge's technical challenges as they arise.
Champion good habits (development techniques, security, tech debt balance, TDD, and agile habits) within your team; improve engineering standards, tooling, and processes.
Debug production issues across multiple levels of the stack.
Find and address performance issues throughout the application.
Perform thorough code reviews and troubleshoot complex issues.
Work with engineering and product managers to understand roadmap priorities.
What You'll Bring
Typically, 5+ years of relevant development experience in fast paced environments
Experienced in of one of the following languages: Python (preferred), Node.js, Ruby, Java, Go
Experience with Cloud Platforms such as GCP, AWS, or Azure
Experience with Docker, auto-scaling, serverless infrastructure
A knack for engineering simple solutions to solve complex problems
Self motivated with a passion for taking ownership of your work and delivering outcomes
Excellent communication skills, a team player with a 'winning as a team' attitude
Ability to work remote-first in a rapidly scaling organization
Bachelor's degree or equivalent experience
ReCharge Payments is an equal opportunity employer. In addition to EEO being the law, it is a policy that is fully consistent with our principles. All qualified applicants will receive consideration for employment without regard to status as a protected veteran or a qualified individual with a disability, or other protected status such as race, religion, color, national origin, sex, sexual orientation, gender identity, genetic information, pregnancy or age. ReCharge Payments prohibits any form of workplace harassment.",4.4,"ReCharge Payments
4.4","Phoenix, AZ","Santa Monica, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,Reg,"ReCharge Payments
",unspecified,60,63,Phoenix, AZ,yes,61.5,No,5,Yes,Yes,No,No,No
